0 Threads Runtime (ms)  2 Threads Runtime (ms)  4 Threads Runtime (ms)
               19274.7                 14038.1                   11234
               19274.2                 14417.9                 10305.1
               20182.3                 13287.4                 10693.7
               18792.6                 14056.3                 9022.05
               20468.4                 13871.5                 13080.7
               21005.3                 14095.2                   12187
               21832.8                 13498.7                 10558.2
                 20789                 13359.4                 10277.4
               19980.5                 13776.3                 7409.74
               19765.5                 13962.5                 10963.3
               20617.7                 14859.7                 12147.2
               18826.8                 14206.4                 11244.1
               19707.7                 14163.1                 11449.9
               17837.6                 13991.6                   11342
               20349.5                   14148                 11038.2
                 20126                 13749.2                 11217.4
